stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row299,0.002707095388952451,0.0013535476944762255,0.029469260203260177,0.989524576287663,0.007347066840822143,13,2,0,0,2.0,2.2591433215571994,0.054407551884651184
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row308,0.0006944600987463276,0.0003472300493731638,0.011058419221609718,0.9961421783815716,0.0028752722877210804,1,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row315,0.00030668916133302297,0.00015334458066651148,0.011204934960773032,0.9971645293021346,0.0021908393500156566,3,1,0,0,0.0,0.2507657371810243,0.02521476149559021
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row333,0.001023789821741542,0.000511894910870771,0.026238873052642334,0.9931360661477169,0.0037974308291450144,5,3,0,0,1.0,0.3862032977634842,0.07470417395234108
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row335,0.00043058513414662635,0.00021529256707331318,0.017229263019547414,0.9937386425320083,0.0028336619293051106,7,6,2,2,1.0,0.048039844064796465,0.03106561303138733
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row338,0.0014494447953017557,0.0007247223976508778,0.05229210446361158,0.9831899243892137,0.004207730771876024,15,9,2,2,1.0,0.08959411913296737,0.0279930979013443
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row347,0.0002665393435353425,0.00013326967176767126,0.010291832258130181,0.9975237840697486,0.0022430886579136965,3,1,1,0,1.0,0.36329928616736434,0.01139974594116211
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session2_row355,0.0069578275033118295,0.0034789137516559147,0.06611045414808468,0.8980574070607868,0.03524827269371599,128,24,3,1,2.0,0.9259884670503381,0.14666293561458588
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row3,0.002972993561920053,0.0014864967809600266,0.08644457804920412,0.9078580506459452,0.02315399687903534,92,15,5,5,2.0,0.22669691638031195,0.09741810709238052
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row11,0.004039102345060393,0.0020195511725301964,0.11815121923419183,0.7710232235811096,0.02518024387582305,105,14,4,2,1.0,2.4072554440415193,0.05803513154387474
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row15,0.02135328686010635,0.010676643430053175,0.12421682313728923,0.49823206558061023,0.06373680056908468,146,33,3,3,2.0,1.3435956013437973,0.18228735029697418
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row29,0.0006490963472586401,0.00032454817362932004,0.03056381628040458,0.9880234443654845,0.004292666302291244,10,8,5,5,0.5,0.15877422647810763,0.027910616248846054
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row30,0.0006916849762680156,0.0003458424881340078,0.03196985287870647,0.9889577736862917,0.0021897480257653764,9,8,6,6,0.5,0.08243373243333871,0.01875365898013115
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row74,0.02658022141699905,0.013290110708499525,0.1231774981835898,0.46196462139722466,0.06770410651740219,156,30,6,4,3.0,2.4180819485711136,0.1508888602256775
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row84,0.020679175437215737,0.010339587718607868,0.12575682357758544,0.5616634994190225,0.06404013783804008,147,32,7,2,2.0,1.1645924709286668,0.21080571971833706
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row93,0.029417090896747135,0.014708545448373567,0.13084545112320486,0.47157816621634924,0.07292277763261674,147,30,11,4,2.0,1.4460980776471923,0.24074240028858185
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row105,0.00019585719128102403,9.792859564051201e-05,0.014749235683578102,0.9970583169764402,0.0021689979906243805,8,7,0,0,2.0,0.15285304034932634,0.006428733468055725
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row149,0.00028220425904953924,0.00014110212952476962,0.01934261817383085,0.9956079330089456,0.002592209538977061,6,4,2,2,2.5,0.10494352730281012,0.017522498965263367
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row154,0.0013347429659302708,0.0006673714829651354,0.020940802804793993,0.9851619300623512,0.006123494556439775,8,7,6,6,1.0,0.09014071528260233,0.06386452913284302
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row169,0.00021116533039425425,0.00010558266519712712,0.013270590900008964,0.9968518479650681,0.0024403975465039757,9,9,5,5,1.0,0.046257884125098174,0.022314906120300293
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row211,0.0006228045253694838,0.0003114022626847419,0.016352830796030064,0.9954908280983397,0.0035291778721979685,3,2,1,1,2.0,0.17162994878526022,0.05844130739569664
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row217,0.0015823834243513942,0.0007911917121756971,0.06998830837802356,0.9404416270601962,0.01422571818531391,60,7,3,3,1.0,0.12309588145946926,0.03920111618936062
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row224,0.013730951475274204,0.006865475737637102,0.10967278077814699,0.567133078760131,0.05281950023324628,144,26,3,1,3.0,1.5274289159593686,0.09175169840455055
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row225,0.00019262833619616308,9.631416809808154e-05,0.01032144187843298,0.9987215921648918,0.003081520855173169,7,5,2,2,0.0,0.04116939211421788,0.023110926151275635
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row235,0.00010572873889557483,5.2864369447787413e-05,0.008566611903789038,0.9991846205539496,0.0023784320316709846,2,1,1,1,0.0,0.19624855624777154,0.029195405542850494
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row256,0.00029906146789324627,0.00014953073394662314,0.030208032378350083,0.9936327580333654,0.002411150334966286,11,11,1,1,1.0,0.054777564540983974,0.025179844349622726
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row259,0.0013814003083334517,0.0006907001541667259,0.0462903363390095,0.9827715564973669,0.009236349897775133,28,13,1,1,1.0,0.08316905412226717,0.03147756960242987
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row263,0.009208009375101077,0.004604004687550538,0.10003576915020516,0.7763342857781466,0.033920168669096064,116,25,6,2,2.0,1.1679685595032994,0.091777503490448
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row268,0.0015167976908610522,0.0007583988454305261,0.05691491193828881,0.9747118176998716,0.0071838833440415325,19,13,1,1,3.0,0.1307003240748266,0.03018060326576233
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row277,0.001065847184468771,0.0005329235922343855,0.05724874697141197,0.9601717256952652,0.011998980552141023,40,8,1,1,3.0,0.33831554610813874,0.04113736655563116
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row286,0.0029225446447344737,0.0014612723223672369,0.08108460320794837,0.9462464461163329,0.015468756823725666,69,15,2,1,1.0,0.81685263787326,0.12362347543239594
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row289,0.00012891504093103103,6.445752046551552e-05,0.009986378499448766,0.9989614023743312,0.0022480541635637305,0,0,0,0,,,
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row296,0.0049369343180423264,0.0024684671590211632,0.05951844298417742,0.9444185631456655,0.02749217531776854,105,15,7,4,2.0,0.8452546621035607,0.07223762571811676
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row297,0.003150946352277958,0.001575473176138979,0.050564137585598995,0.9596657396763117,0.023639294632178332,98,11,0,0,3.0,1.3541493082157996,0.1205345019698143
outer,nato_outer_o0__train_strict_core__test_strict_core,0,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,session3_row298,0.005900840099088127,0.0029504200495440633,0.07168951014437257,0.9267463429832711,0.026136873898628565,106,17,7,4,2.0,1.0529205120513514,0.09731385856866837
