heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
PICO,400-1800_common,poster,poster_holdout_PICO,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,1729,1.0,1.0,1.0,75,75,0,,0.04202864191794951,0.021014320958974753,0.11893219731454006,0.7595840615233418,0.010177229490719036,0.3745819397993311,2.0,0.7099511813663706,0.053618401288986206
PICO,400-1800_common,poster,poster_holdout_PICO,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,2718,0.7066666666666667,0.6362433862433862,0.6362433862433862,75,75,0,,0.04276570090135164,0.02138285045067582,0.12337415003229234,0.7308664068938301,0.010094485798336142,0.3712374581939799,2.0,0.46170740482007566,0.07771127298474312
PICO,400-1800_common,poster,poster_holdout_PICO,,dae,c16x32_z64_spectral_composite_mixed_progressive,minimal_minmax,mixed_progressive,3141,0.9866666666666667,0.9866613311991462,0.9866613311991462,75,75,0,,0.03554260294155762,0.01777130147077881,0.1203638426728617,0.7254326966362993,0.010173060716427946,0.3210702341137124,3.0,0.4958155989700064,0.06856678426265717
PICO,400-1800_common,poster,poster_holdout_PICO,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,1729,1.0,1.0,1.0,75,75,0,,0.029244474230450502,0.014622237115225251,0.15500199963508476,0.7570721014970567,0.019409766466068134,0.1831907398087569,2.0,0.7017550570669817,0.09621636290103197
PICO,400-1800_common,poster,poster_holdout_PICO,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,2718,1.0,1.0,1.0,75,75,0,,0.03535956987093334,0.01767978493546667,0.1691484704887526,0.7390956078650419,0.019196055916864897,0.17010568696527428,3.0,0.49586384080842005,0.09768672194331884
PICO,400-1800_common,poster,poster_holdout_PICO,,dae,c8x16_z64_spectral_composite_mixed_uniform,arpls_minmax,mixed_uniform,3141,0.8266666666666667,0.814099814099814,0.814099814099814,75,75,0,,0.028355384661162126,0.014177692330581063,0.15670052874457108,0.7392756540706092,0.01925074862761595,0.17262204328132863,2.5,0.5558789546863443,0.11408993601799011
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,nearest_centroid,minimal_minmax,none,2026,0.32,0.1827669593992618,0.1827669593992618,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,pca_logistic,minimal_minmax,none,2026,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,linear_svm,minimal_minmax,none,2026,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,nearest_centroid,arpls_minmax,none,2026,0.6533333333333333,0.5487528344671202,0.5487528344671202,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,pca_logistic,arpls_minmax,none,2026,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,linear_svm,arpls_minmax,none,2026,0.9866666666666667,0.9866613311991462,0.9866613311991462,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,nearest_centroid,derivative_1,none,2026,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,pca_logistic,derivative_1,none,2026,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,classical,linear_svm,derivative_1,none,2026,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,1.0,1.0,1.0,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.9733333333333333,0.9733279978658129,0.9733279978658129,75,75,0,,,,,,,,,,
pSERS,400-1800_common,poster,poster_holdout_pSERS,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,1729,0.7333333333333334,0.6825396825396824,0.6825396825396824,75,75,0,,0.005778305294461169,0.0028891526472305845,0.1058900912691366,0.7780083202999916,0.006871951281665575,0.6487341772151899,2.0,0.3865534038132857,0.09522792510688305
pSERS,400-1800_common,poster,poster_holdout_pSERS,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,2718,0.9733333333333333,0.9732905982905984,0.9732905982905984,75,75,0,,0.0056004579204528716,0.0028002289602264358,0.10458798905923077,0.8043287978713133,0.007015254977655491,0.5854430379746836,2.0,0.3769173106394711,0.10371124744415283
pSERS,400-1800_common,poster,poster_holdout_pSERS,,ae,c16x32_z64_spectral_composite_clean,minimal_minmax,clean,3141,1.0,1.0,1.0,75,75,0,,0.005603999936210452,0.002801999968105226,0.10445830338294564,0.7876177392611613,0.007044908305348336,0.6075949367088608,2.0,0.44300609676747593,0.08721500635147095
