stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,failure_type
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row277,blank,4_ANPP,0.8771450754466997,True,False,Pendar-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row297,4_ANPP,acetaminophen,0.3427639635953382,True,False,Pendar-1,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row298,blank,ethanol,0.5038163609546739,True,False,Pendar-1,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row306,benzyl_fentanyl,acetaminophen,0.4812832840276284,True,False,Pendar-1,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row312,blank,ethanol,0.5758437446410449,True,False,Pendar-1,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row315,benzyl_fentanyl,4_ANPP,0.4318999398003703,True,False,Mira-3,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row322,blank,ethanol,0.3761592094077917,True,False,Mira-3,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row323,4_ANPP,blank,0.3311155751909885,True,False,Mira-3,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row324,blank,ethanol,0.6248177681463759,True,False,Mira-3,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row479,acetaminophen,4_ANPP,0.7750326378556174,True,False,Mira-1,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,clean,cyclical_4,3141,session3_row480,acetaminophen,4_ANPP,0.9012160889294852,True,False,Agilent-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
