stage,subset,protocol,domain_type,heldout_domain,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,name,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
domain,strict_core,domain_only,instrument,Mira-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,78226194,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,2d322710449ca2e095d9a9b10538fd6d348412f4ebbf6956cab8080a373277e1
domain,strict_core,domain_only,instrument,Mira-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,238556237,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,b9b4f1b05e080f21cef6627c09fb7b6431670ba05c75b9a854bd0e248b7a9b3a
domain,strict_core,domain_only,instrument,Mira-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,666121232,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,ea64748cd1aa049fce4fafe980b12df5c11e35a818d1af7a22fe63520d47473e
domain,strict_core,domain_only,instrument,Mira-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,20657005,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,c3ff2edfa99cf9659af3d726ac97224e6c6af447f9d86a6a68da1580148402f8
domain,strict_core,domain_only,instrument,Mira-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,987606513,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,6ec43c6946ecb069416a5f93ecf0c7c011e55859e3af8aa5ed39753a2141b9a1
domain,strict_core,domain_only,instrument,Mira-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1008798356,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,a1f67b2bdbffb851f89bfad83a75182938cfb7bca11f3f5579a96a55916e02b1
domain,strict_core,domain_only,instrument,Mira-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,2074950742,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,f23419af79a32fb51b01964c7b44ec610cc8bef9fc55073f8cb05eefa85bc76d
domain,strict_core,domain_only,instrument,Mira-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,719519923,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,f2b42dfbe800d36ec67a661d795c7cc55dcffeaecc776c47d62fef4bfe08c9bc
domain,strict_core,domain_only,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1802169277,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,47359e8b936ebafab07b390eb25a7013709de2e83ebc374c2ca2f6d9220ccb27
domain,strict_core,domain_only,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1454074700,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,8b7f5ed3a060239e795cff714e5c730f2420c662987d51a9d1fe1b931fb2e1bb
domain,strict_core,domain_only,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,532141948,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,99a0bf9823c479c7074b137f32ba07394d14ff9d1d7fbb9a68b6450de40489aa
domain,strict_core,domain_only,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1088293214,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,6e7bfb9361da54731c242c67e5211dba8430b4fd324f788897d4dd258787a964
domain,strict_core,domain_only,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,618195944,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,455,720039,f0eb56c5c6a2be2316e6a3d36f28d76489e8ac9525a5cb6265a9e02068916538
