stage,training_subset,outer_fold,variant,candidate_id,declared_seed,run_seed,epochs,temperature,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
outer,strict_core,1,cross_entropy_only,cross_entropy_only__minimal_minmax__legacy64__8c2a8081a5fd,3141,952898815,66,1.0,cross_entropy_only,minimal_minmax,legacy,64,1.0,0.0,0.0,0.1,0.2,False,False,False,719584,455,720039,2da65fa6bf4c4c6e339142daad864166354784ad8f76942262c5839c3274fa98
outer,strict_core,1,supervised_contrastive_only,supervised_contrastive_only__minimal_minmax__legacy64__402183ef09a8,1729,1341953265,66,1.0,supervised_contrastive_only,minimal_minmax,legacy,64,0.0,1.0,0.0,0.1,0.2,False,False,False,719584,455,720039,5ec88e9c17ffdc7a7e42c070dd5e8038606f5381d66e676938523c67468b24cf
outer,strict_core,1,supervised_contrastive_only,supervised_contrastive_only__minimal_minmax__legacy64__402183ef09a8,2718,1921580748,66,1.0,supervised_contrastive_only,minimal_minmax,legacy,64,0.0,1.0,0.0,0.1,0.2,False,False,False,719584,455,720039,07a744dbe46882ead4603333cd418357fcdccc7e695ef11417c95faa1e8710a3
outer,strict_core,1,supervised_contrastive_only,supervised_contrastive_only__minimal_minmax__legacy64__402183ef09a8,3141,1071656303,66,1.0,supervised_contrastive_only,minimal_minmax,legacy,64,0.0,1.0,0.0,0.1,0.2,False,False,False,719584,455,720039,f7a0354538064f66759c3391f472cbff17292499d8dfb3ac43f2a45e21406634
outer,strict_core,1,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__minimal_minmax__legacy64__9224445b83c7,1729,104011600,66,1.0,ce_plus_supervised_contrastive,minimal_minmax,legacy,64,1.0,0.5,0.0,0.1,0.2,False,False,False,719584,455,720039,cdfb0c5d1bf0e2b2c3c6b021c000b999e1b9258878dced96288002542e327e1f
outer,strict_core,1,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__minimal_minmax__legacy64__9224445b83c7,2718,1260500114,66,1.0,ce_plus_supervised_contrastive,minimal_minmax,legacy,64,1.0,0.5,0.0,0.1,0.2,False,False,False,719584,455,720039,26d2f53954ecedf2c3d75fab4725e73792306191cf0dd494beec2b235f300ee3
outer,strict_core,1,ce_plus_supervised_contrastive,ce_plus_supervised_contrastive__minimal_minmax__legacy64__9224445b83c7,3141,1763303338,66,1.0,ce_plus_supervised_contrastive,minimal_minmax,legacy,64,1.0,0.5,0.0,0.1,0.2,False,False,False,719584,455,720039,2df0ec1e6da68ff81fa4e41c52166492114eb0b5434784261a77e77300eccf63
outer,strict_core,1,random_positive_ablation,random_positive_ablation__minimal_minmax__legacy64__d5177828b4ca,1729,882785530,66,1.0,random_positive_ablation,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,False,True,True,719584,455,720039,7af435c5ef3dad4478a84aad429452001e523434154b16c721be8b6e46b03570
outer,strict_core,1,random_positive_ablation,random_positive_ablation__minimal_minmax__legacy64__d5177828b4ca,2718,936809812,66,1.0,random_positive_ablation,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,False,True,True,719584,455,720039,2bf73e8287a3b6207d3c851c79b8a3ab47bd5fc0946f7a2d10d66f6df43a0af4
outer,strict_core,1,random_positive_ablation,random_positive_ablation__minimal_minmax__legacy64__d5177828b4ca,3141,1139143438,66,1.0,random_positive_ablation,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,False,True,True,719584,455,720039,6c1e25101b5a2563d77cdd00b8b047bb04e859ff0410954dd0b44e5a4427a57e
