wavenumber,mean,std
1749.166178,541.099927512,208.2729798624056
1751.382209,538.733515376,208.12698768864826
1753.59824,536.126764968,206.27859041562226
1755.814272,534.11120912,203.47657884028783
1758.030303,533.1760169600001,204.4823222143309
1760.246334,532.3832560760001,203.9442363927579
1762.462366,530.986046824,200.80557244175742
1764.678397,531.099897476,202.00066075930567
1766.894428,530.341142996,200.5181698619731
1769.110459,528.223345848,199.2012773082541
1771.326491,526.198817664,196.28648091611242
1773.542522,523.675851172,193.6648943107491
1775.758553,526.76987958,194.31498850832634
1777.974585,525.8381158120001,197.07144944889467
1780.190616,522.637492996,191.92203684917212
1782.406647,524.453264584,190.8910100826916
1784.622678,523.135449676,189.17022861252283
1786.83871,521.4147978999999,191.32562763370257
1789.054741,521.139212388,189.31672912339775
1791.270772,522.572447408,188.114253599683
1793.486804,522.2498155399999,185.60278344172232
1795.702835,518.40282528,185.7362317250995
1797.918866,517.7733606639999,183.791790052906
