candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
62,derivative_1__random_forest__3a58587681,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,667208417,355,124,41,16,pass,,124,124,0,0.7445921350996539,0.7489237474514547,0.7741935483870968,0.8336448056492837,0.37606798398563507,0.20847668541118242
63,derivative_1__random_forest__baf457a363,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,1943751538,355,124,41,16,pass,,124,124,0,0.741692257199776,0.7450058295922958,0.7661290322580645,0.8568284276948711,0.38451898966995196,0.2166882989008609
64,derivative_1__random_forest__0c28cc6c96,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,157307584,355,124,41,16,pass,,124,124,0,0.7313389930871134,0.7345188345188344,0.7580645161290323,0.8580704762323421,0.3851947859007156,0.20925775347245687
65,derivative_1__random_forest__b14279f757,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,192209671,355,124,41,16,pass,,124,124,0,0.7635176540251728,0.766746256306905,0.7903225806451613,0.8530932013655445,0.3818112949867584,0.24874718778792795
66,derivative_1__random_forest__5e308670e9,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,1416358136,355,124,41,16,pass,,124,124,0,0.7277270557345744,0.7305423029252751,0.7580645161290323,0.8493336831751698,0.3826976079393236,0.18989699777898253
67,derivative_1__random_forest__ba463fb0d7,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,988177905,355,124,41,16,pass,,124,124,0,0.7386397541472729,0.7409122623408336,0.7661290322580645,0.8616273894376052,0.38474730097947546,0.21050290980881908
68,derivative_1__random_forest__20f5c6f432,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,81749822,355,124,41,16,pass,,124,124,0,0.7298529060747105,0.735863308534116,0.7580645161290323,0.8360824696714145,0.37766678330257925,0.19718162918987167
69,derivative_1__random_forest__c739cc8caf,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,1059598605,355,124,41,16,pass,,124,124,0,0.75175461547642,0.7554162890435705,0.7741935483870968,0.8466411593497851,0.3806308537773935,0.21726331654338712
70,derivative_1__random_forest__9567b8594a,derivative_1,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,1344469763,355,124,41,16,pass,,124,124,0,0.7445921350996539,0.7467438703463547,0.7741935483870968,0.8506921075122197,0.38211365877597037,0.22198972224384653
71,derivative_1__random_forest__8118d4f679,derivative_1,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,1083316042,355,124,41,16,pass,,124,124,0,0.7710978453459657,0.7717093723900303,0.7903225806451613,0.8609520315546495,0.3877475391914885,0.24901807999807501
