experiment_id,task_id,station,procedure_id,aggregation_level,planned_endpoint_count,complete_endpoint_count,unavailable_endpoint_count,completion_fraction,expected_observation_memberships,expected_master_memberships
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-11,spectrum,25,22,3,0.88,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-12,instrument_balanced_master,25,21,4,0.84,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-12,spectrum,25,21,4,0.84,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-13,instrument_balanced_master,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-13,spectrum,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-14,instrument_balanced_master,25,21,4,0.84,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-14,spectrum,25,21,4,0.84,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-15,instrument_balanced_master,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-15,spectrum,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-16,instrument_balanced_master,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-16,spectrum,25,18,7,0.72,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-17,instrument_balanced_master,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-17,spectrum,25,20,5,0.8,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-18,instrument_balanced_master,25,21,4,0.84,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-18,spectrum,25,21,4,0.84,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-19,instrument_balanced_master,25,19,6,0.76,895,495
EXP-C09-CONTROL-PERM,T3-ZS,surfaces,C-PERMUTED-SELECTED:CTRL-PERM-19,spectrum,25,19,6,0.76,895,495
EXP-C09-CONTROL-PRIOR,T3-ZS,cwa,C-PRIOR:CTRL-PRIOR-EMPIRICAL,instrument_balanced_master,15,15,0,1.0,880,330
EXP-C09-CONTROL-PRIOR,T3-ZS,cwa,C-PRIOR:CTRL-PRIOR-EMPIRICAL,spectrum,15,15,0,1.0,880,330
EXP-C09-CONTROL-PRIOR,T3-ZS,cwa,C-PRIOR:CTRL-PRIOR-UNIFORM,instrument_balanced_master,15,15,0,1.0,880,330
EXP-C09-CONTROL-PRIOR,T3-ZS,cwa,C-PRIOR:CTRL-PRIOR-UNIFORM,spectrum,15,15,0,1.0,880,330
EXP-C09-CONTROL-PRIOR,T3-ZS,pills,C-PRIOR:CTRL-PRIOR-EMPIRICAL,instrument_balanced_master,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PRIOR,T3-ZS,pills,C-PRIOR:CTRL-PRIOR-EMPIRICAL,spectrum,25,25,0,1.0,1010,485
EXP-C09-CONTROL-PRIOR,T3-ZS,pills,C-PRIOR:CTRL-PRIOR-UNIFORM,instrument_balanced_master,25,25,0,1.0,1010,485
