scanname Scan009
timestamp 2024-03-06 17:47:32
ccdbias 990.967285
ccdgain 4.313516
sigmaread 9.885917
laserwavenum -0.039825
wavenumcorrection -0.892949
scancount 3
totalexposurems 3953
singleexposurems 1939
measurementstate Unknown
scanmode Auto
snr 92.812256 24.598404 7.100382
replacelist 0
peaks 6
831.058716 0.130693
833.059875 0.130484
835.059875 0.130012
837.058533 0.132477
839.055969 0.132941
841.052246 0.131664
843.047058 0.133093
845.040649 0.133291
847.033203 0.133113
849.024292 0.131184
851.014160 0.132725
853.002869 0.135349
854.990234 0.135914
856.976257 0.135201
858.961304 0.136914
860.944885 0.135252
862.927307 0.132450
864.908508 0.133797
866.888428 0.133542
868.866943 0.134329
870.844543 0.131600
872.820679 0.131577
874.795532 0.131843
876.769409 0.129761
878.741821 0.130966
880.712952 0.130998
882.683044 0.131651
884.651733 0.131006
886.619202 0.130175
888.585571 0.130959
890.550537 0.131178
892.514465 0.131272
894.477051 0.131301
896.438354 0.131364
898.398560 0.131558
900.357422 0.131863
902.315063 0.132652
904.271545 0.131143
906.226685 0.130778
908.180603 0.129766
910.133484 0.131246
912.085022 0.130971
914.035278 0.132346
915.984375 0.130657
917.932312 0.130899
919.878906 0.131670
921.824463 0.131677
923.768616 0.132386
925.711548 0.132557
927.653442 0.131952
929.593994 0.132097
931.533325 0.131173
933.471497 0.129488
935.408447 0.130437
937.344177 0.129281
939.278687 0.132390
941.211975 0.130882
943.144043 0.129389
945.074951 0.129929
947.004639 0.127208
948.933289 0.131102
950.860474 0.129658
952.786499 0.129623
954.711487 0.132744
956.635132 0.130202
958.557495 0.131021
960.478821 0.129712
962.398865 0.130656
964.317688 0.129057
966.235474 0.130550
968.151917 0.141102
970.067078 0.134395
971.981262 0.131566
973.894165 0.129793
975.805847 0.135017
977.716431 0.132628
979.625671 0.130825
981.533752 0.130421
983.440796 0.131844
985.346497 0.130339
987.251038 0.131323
989.154541 0.130175
991.056641 0.132909
992.957581 0.129603
994.857544 0.131105
996.756104 0.130691
998.653564 0.131384
1000.549927 0.135093
1002.445007 0.132310
1004.338928 0.132842
1006.231812 0.132400
1008.123230 0.132529
1010.013611 0.134345
1011.902832 0.132259
1013.790894 0.131472
1015.677795 0.131936
1017.563538 0.131832
1019.447998 0.130205
1021.331421 0.133358
1023.213623 0.133880
1025.094482 0.134859
1026.974365 0.134844
1028.853149 0.136166
1030.730591 0.134949
1032.607056 0.135166
1034.482178 0.135107
1036.356079 0.135475
1038.229126 0.133933
1040.100708 0.137694
1041.971313 0.135578
1043.840698 0.137557
1045.708862 0.137226
1047.575806 0.136427
1049.441772 0.134958
1051.306519 0.136338
1053.170044 0.137859
1055.032471 0.136210
1056.893921 0.136619
1058.753906 0.133919
1060.613037 0.138503
1062.470581 0.135690
1064.327393 0.137783
1066.182861 0.136752
1068.037231 0.135874
1069.890625 0.134273
1071.742676 0.134740
1073.593506 0.134638
1075.443359 0.138370
1077.291992 0.137192
1079.139404 0.138308
1080.985718 0.135898
1082.831055 0.136056
1084.675049 0.136359
1086.518066 0.138445
1088.359741 0.138922
1090.200439 0.141130
1092.039917 0.140826
1093.878296 0.143871
1095.715576 0.143642
1097.551636 0.147907
1099.386597 0.141054
1101.220337 0.142863
1103.053223 0.139545
1104.884644 0.140706
1106.715088 0.138976
1108.544556 0.140546
1110.372559 0.141160
1112.199585 0.141908
1114.025635 0.140794
