heldout_substrate_family,poster_axis,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0199,0.008606167610294677,0.004303083805147339,0.11550788410915408,0.7513191462025838,0.01719896294974855,78,19,19,9,2.0,0.38351796993516357,0.07635539583861828
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0453,0.012614171929867994,0.006307085964933997,0.13097004078358734,0.7566519795800448,0.020699731412210636,73,17,26,12,2.0,0.5492359137070092,0.08605137467384338
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0454,0.009630096562448938,0.004815048281224469,0.11674941188610884,0.6893797543457572,0.025531625856445837,101,22,34,10,3.0,1.7811842979340737,0.08881600573658943
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0455,0.003976820464599738,0.001988410232299869,0.09144994249370311,0.9308068880189909,0.005959324053089534,17,7,6,5,1.0,0.4044532263012524,0.04732278361916542
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0456,0.004262090151070261,0.0021310450755351305,0.10666158356722852,0.8531780677487439,0.016665422070239272,67,14,14,11,2.0,0.6362711066779843,0.0808037519454956
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0457,0.004929149103519423,0.0024645745517597115,0.09105326608878303,0.868219953754701,0.019570834821622286,83,17,25,14,2.0,0.40061958806102416,0.10628991574048996
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0458,0.005475327351215986,0.002737663675607993,0.09572549259003478,0.8126666072492117,0.01898876533976623,85,18,21,11,2.0,1.211376704521037,0.082986980676651
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0459,0.006081213708684077,0.0030406068543420385,0.09160443700798662,0.8780917624705091,0.01924270693379055,78,17,23,12,2.0,0.7821921867166313,0.101021409034729
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0460,0.008291740533964292,0.004145870266982146,0.08596961018847575,0.8821952370860161,0.021656322974844704,86,22,25,11,2.0,0.4775730012033018,0.0862712636590004
Ag,400-1800_common,poster,poster_holdout_Ag,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,1729,poster_row_0461,0.006017657932099972,0.003008828966049986,0.10321936664736081,0.8078655962374774,0.020959730761990484,88,19,29,12,1.0,1.0595290347654607,0.08908948302268982
