stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,true_label,predicted_label,prediction_confidence,test_class_supported,correct,instrument,sensor_family,substrate_family,source_substrate,target_analyte,heldout_substrate_family,poster_axis,evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,failure_type
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session2_row333,ethanol,benzyl_fentanyl,0.3825034814001694,True,False,RMX-1,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session2_row347,ethanol,ethyl_paraoxon,0.4436373830438946,True,False,Mira-2,NRC_Canadian_SERS,,,ethanol,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session2_row355,ethanol,4_nitrophenol,0.3245112161346359,True,False,Pendar-3,NRC_Canadian_SERS,,,ethanol,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row11,ethanol,benzyl_fentanyl,0.4847113613370071,True,False,Pendar-2,H_SERS_H_Kit,,,ethanol,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row84,ethyl_paraoxon,acetaminophen,0.634197629512203,True,False,Pendar-2,H_SERS_H_Kit,,,ethyl_paraoxon,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row211,4_ANPP,acetaminophen,0.3586044993313516,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row224,benzyl_fentanyl,acetaminophen,0.3515222079007056,True,False,Pendar-1,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row263,blank,ethyl_paraoxon,0.3162569122979854,True,False,Pendar-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row277,blank,4_ANPP,0.8922335138262668,True,False,Pendar-1,pSERS_Metrohm_silver,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row296,blank,4_ANPP,0.2843525092369575,True,False,Pendar-1,NRC_Canadian_SERS,,,blank,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row297,4_ANPP,benzyl_fentanyl,0.4570226504789158,True,False,Pendar-1,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row306,benzyl_fentanyl,acetaminophen,0.649208046914703,True,False,Pendar-1,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row315,benzyl_fentanyl,4_ANPP,0.4584038689427092,True,False,Mira-3,NRC_Canadian_SERS,,,benzyl_fentanyl,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row323,4_ANPP,acetaminophen,0.2362681368576022,True,False,Mira-3,NRC_Canadian_SERS,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row479,acetaminophen,4_ANPP,0.5624675933365493,True,False,Mira-1,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row480,acetaminophen,4_ANPP,0.9758448381971346,True,False,Agilent-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row483,acetaminophen,4_ANPP,0.6112196408018348,True,False,Pendar-3,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row497,acetaminophen,4_ANPP,0.5306367602071401,True,False,Mira-1,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row498,acetaminophen,4_ANPP,0.9411205385364072,True,False,Mira-1,pSERS_Metrohm_silver,,,acetaminophen,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,session1_row33,4_ANPP,blank,0.6171280749966032,True,False,Mira-3,pSERS_Metrohm_silver,,,4_ANPP,,,,,,,,,misclassification
outer,nato_outer_o0__train_strict_core__test_strict_core,0.0,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,minimal_minmax,clean,four25_then_fixed,0.25,1729,session1_row50,benzyl_fentanyl,4_ANPP,0.6304721164678336,True,False,Agilent-3,pSERS_Metrohm_silver,,,benzyl_fentanyl,,,,,,,,,misclassification
