source,display_model,scenario,outer_fold,subset,representation,model_family,model,seed,raw_same_master_cross_instrument_distance,latent_same_master_cross_instrument_distance,same_master_distance_delta,latent_different_target_cross_instrument_distance,latent_cross_instrument_separation_margin,same_master_pair_count,different_target_pair_count
frozen_baseline,Siamese,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,derivative_1,siamese,siamese,3141,0.8953581418822147,0.27452003797411517,-0.6208381039080996,0.31571400452877735,0.041193966554662176,8,111
frozen_baseline,Siamese,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,derivative_1,siamese,siamese,1729,0.9472974138852617,0.16810140201657067,-0.779196011868691,0.19988432372075882,0.031782921704188144,25,190
frozen_baseline,Siamese,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,derivative_1,siamese,siamese,2718,0.9472974138852617,0.3264168196363558,-0.6208805942489058,0.2935685618625987,-0.032848257773757106,25,190
frozen_baseline,Siamese,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,derivative_1,siamese,siamese,3141,0.9472974138852617,0.16236581666190722,-0.7849315972233545,0.16734312255357936,0.00497730589167214,25,190
frozen_baseline,AE,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,1729,,,,0.1767416217270306,,0,26
frozen_baseline,AE,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,2718,,,,0.39203253937070554,,0,26
frozen_baseline,AE,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,3141,,,,0.24978657352276584,,0,26
frozen_baseline,AE,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,1729,0.7991668716831541,0.2383512895048857,-0.5608155821782684,0.2823516137026483,0.044000324197762564,8,54
frozen_baseline,AE,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,2718,0.7991668716831541,0.16957194976850304,-0.629594921914651,0.22336069462198468,0.053788744853481646,8,54
frozen_baseline,AE,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,3141,0.7991668716831541,0.21835353936187185,-0.5808133323212823,0.27718642077641886,0.05883288141454701,8,54
frozen_baseline,AE,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,1729,0.8396345284497281,0.22261052459001,-0.6170240038597181,0.22451995618905074,0.0019094315990407507,14,136
frozen_baseline,AE,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,2718,0.8396345284497281,0.277696238713316,-0.561938289736412,0.26329039431629975,-0.014405844397016254,14,136
frozen_baseline,AE,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,3141,0.8396345284497281,0.17984505341491744,-0.6597894750348107,0.1755090697055545,-0.004335983709362945,14,136
frozen_baseline,AE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,1729,0.9172272652392401,0.47559089706040447,-0.44163636817883567,0.3474378699292078,-0.1281530271311967,8,111
frozen_baseline,AE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,2718,0.9172272652392401,0.39240951681216585,-0.5248177484270743,0.2736511693542073,-0.11875834745795855,8,111
frozen_baseline,AE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,3141,0.9172272652392401,0.42870936245567115,-0.488517902783569,0.30305656542448406,-0.1256527970311871,8,111
frozen_baseline,AE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,1729,0.8821276426497598,0.2238024951522138,-0.658325147497546,0.2564679472486272,0.032665452096413417,25,190
frozen_baseline,AE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,2718,0.8821276426497598,0.2243353127624972,-0.6577923298872627,0.24173626676967827,0.017400954007181058,25,190
frozen_baseline,AE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,minimal_minmax,ae,c16x32_z64_spectral_composite_clean,3141,0.8821276426497598,0.19626669585042347,-0.6858609467993364,0.20935335558070442,0.013086659730280947,25,190
frozen_baseline,DAE,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,1729,,,,0.375462436244933,,0,26
frozen_baseline,DAE,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,2718,,,,0.3981710141660546,,0,26
frozen_baseline,DAE,nato_outer_o0__train_quality_pass__test_field_quality_stress,0,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,3141,,,,0.34904927677371106,,0,26
frozen_baseline,DAE,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,1729,0.7991668716831541,0.15894995540552842,-0.6402169162776257,0.22252597343278768,0.06357601802725926,8,54
frozen_baseline,DAE,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,2718,0.7991668716831541,0.28341352801962716,-0.515753343663527,0.36052185060709724,0.07710832258747008,8,54
frozen_baseline,DAE,nato_outer_o1__train_quality_pass__test_field_quality_stress,1,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,3141,0.7991668716831541,0.2007008784308777,-0.5984659932522765,0.2909348423278728,0.09023396389699512,8,54
frozen_baseline,DAE,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,1729,0.8396345284497281,0.47836669423564376,-0.3612678342140843,0.46498801325880446,-0.013378680976839308,14,136
frozen_baseline,DAE,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,2718,0.8396345284497281,0.4073895961281912,-0.4322449323215369,0.4002200058121434,-0.0071695903160478025,14,136
frozen_baseline,DAE,nato_outer_o2__train_quality_pass__test_field_quality_stress,2,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,3141,0.8396345284497281,0.37298449776407594,-0.46665003068565214,0.35145607733534046,-0.021528420428735484,14,136
frozen_baseline,DAE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,1729,0.9172272652392401,0.5574631223386393,-0.3597641429006009,0.4312006529748859,-0.12626246936375335,8,111
frozen_baseline,DAE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,2718,0.9172272652392401,0.6269806779823139,-0.2902465872569262,0.47152141427014976,-0.15545926371216418,8,111
frozen_baseline,DAE,nato_outer_o3__train_quality_pass__test_field_quality_stress,3,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,3141,0.9172272652392401,0.33749080837677814,-0.579736456862462,0.23595290927371193,-0.10153789910306621,8,111
frozen_baseline,DAE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,1729,0.8821276426497598,0.2818097921955864,-0.6003178504541735,0.3404478022511869,0.05863801005560054,25,190
frozen_baseline,DAE,nato_outer_o4__train_quality_pass__test_field_quality_stress,4,field_quality_stress,minimal_minmax,dae,c16x32_z64_spectral_composite_mixed_progressive,2718,0.8821276426497598,0.3466907425957665,-0.5354369000539934,0.39339073545163733,0.04669999285587084,25,190
