evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,kl_schedule,beta_target,seed,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row309,0.001209678510209087,0.0006048392551045435,0.06262306440546123,0.9730358816479328,0.0031596355170144565,12,7,0,0,2.0,0.17637904152131806,0.037606443744152784
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row314,0.00610467316998604,0.00305233658499302,0.09859136163034113,0.911929052893216,0.006186118004760439,11,7,0,0,2.0,0.2504850191494838,0.06359193450771272
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row336,0.0058202837472754185,0.0029101418736377093,0.08391586121828093,0.9418281073389918,0.005080628861074469,12,5,0,0,2.0,0.4485086144244494,0.35044145211577415
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row337,0.005974288262516052,0.002987144131258026,0.08326098165187071,0.9422252611836479,0.0045922710899529715,11,5,0,0,1.0,0.39953519453159475,0.06628387607634068
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row338,0.009153856197206179,0.004576928098603089,0.09656529468740033,0.9169858983948186,0.005447235347861091,11,3,0,0,1.0,0.3365607409536746,0.07395506836473942
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row339,0.00848973782108287,0.004244868910541435,0.08747650724890527,0.932475429273619,0.005889534178921687,12,5,0,0,1.0,0.5903313948715366,0.08699530083686113
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row341,0.008031043722501796,0.004015521861250898,0.09678375549700763,0.9236108963364306,0.005513365707312857,13,6,0,0,1.5,0.4120540688091493,0.14163652999559417
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,2718,session3_row343,0.0045968880674985965,0.0022984440337492982,0.0688535184819845,0.9637145001770735,0.004220676721639133,10,3,0,0,2.0,0.08739389272748159,0.06365231424570084
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row226,0.004630553986950351,0.0023152769934751756,0.10007182781663929,0.9195630850585075,0.005341673404647379,14,7,0,0,2.0,0.3407150739218855,0.14230649173259735
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,vae_adequacy,base_maxpool__z64__spectral_composite__beta0p25__constant_lr__e500,arpls_minmax,clean,four25_then_fixed,0.25,3141,session3_row236,0.0032545228534777227,0.0016272614267388613,0.07545405388895614,0.9582183555804671,0.002484306890484212,9,8,0,0,2.5,0.2825143368119184,0.04612818150781095
