k,shot_unit,seed,held_out_substrate,prototype_mode,n_train_available,n_support,n_test,support_labels,support_substrates,support_counts,test_labels,accuracy,balanced_accuracy,macro_f1,true_label_macro_f1,final_loss
5,chemical_substrate,46,pSERS,row_mean,200,40,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:5;4np/PICO:5;benzenethiol/Ag:5;benzenethiol/Au:5;benzenethiol/PICO:5;pyridine/Ag:5;pyridine/Au:5;pyridine/PICO:5,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
10,chemical_substrate,42,Ag,row_mean,200,80,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:10;4np/pSERS:10;benzenethiol/Au:10;benzenethiol/PICO:10;benzenethiol/pSERS:10;pyridine/Au:10;pyridine/PICO:10;pyridine/pSERS:10,"4np,benzenethiol,pyridine",0.6666666666666666,0.6666666666666666,0.5743938601081459,0.5743938601081459,0.0
10,chemical_substrate,42,Au,row_mean,225,90,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:10;4np/PICO:10;4np/pSERS:10;benzenethiol/Ag:10;benzenethiol/PICO:10;benzenethiol/pSERS:10;pyridine/Ag:10;pyridine/PICO:10;pyridine/pSERS:10,"benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0
10,chemical_substrate,42,PICO,row_mean,200,80,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:10;4np/pSERS:10;benzenethiol/Ag:10;benzenethiol/Au:10;benzenethiol/pSERS:10;pyridine/Ag:10;pyridine/Au:10;pyridine/pSERS:10,"4np,benzenethiol,pyridine",0.8133333333333334,0.8133333333333334,0.7950513538748832,0.7950513538748832,0.0
10,chemical_substrate,42,pSERS,row_mean,200,80,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:10;4np/PICO:10;benzenethiol/Ag:10;benzenethiol/Au:10;benzenethiol/PICO:10;pyridine/Ag:10;pyridine/Au:10;pyridine/PICO:10,"4np,benzenethiol,pyridine",0.9866666666666667,0.9866666666666667,0.9866613311991462,0.9866613311991462,0.0
10,chemical_substrate,43,Ag,row_mean,200,80,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:10;4np/pSERS:10;benzenethiol/Au:10;benzenethiol/PICO:10;benzenethiol/pSERS:10;pyridine/Au:10;pyridine/PICO:10;pyridine/pSERS:10,"4np,benzenethiol,pyridine",0.6533333333333333,0.6533333333333333,0.5458288578589331,0.5458288578589331,0.0
10,chemical_substrate,43,Au,row_mean,225,90,50,"4np,benzenethiol,pyridine","Ag,PICO,pSERS",4np/Ag:10;4np/PICO:10;4np/pSERS:10;benzenethiol/Ag:10;benzenethiol/PICO:10;benzenethiol/pSERS:10;pyridine/Ag:10;pyridine/PICO:10;pyridine/pSERS:10,"benzenethiol,pyridine",0.98,0.98,0.6598639455782312,0.9897959183673469,0.0
10,chemical_substrate,43,PICO,row_mean,200,80,75,"4np,benzenethiol,pyridine","Ag,Au,pSERS",4np/Ag:10;4np/pSERS:10;benzenethiol/Ag:10;benzenethiol/Au:10;benzenethiol/pSERS:10;pyridine/Ag:10;pyridine/Au:10;pyridine/pSERS:10,"4np,benzenethiol,pyridine",0.5733333333333334,0.5733333333333334,0.5207336222599083,0.5207336222599083,0.0
10,chemical_substrate,43,pSERS,row_mean,200,80,75,"4np,benzenethiol,pyridine","Ag,Au,PICO",4np/Ag:10;4np/PICO:10;benzenethiol/Ag:10;benzenethiol/Au:10;benzenethiol/PICO:10;pyridine/Ag:10;pyridine/Au:10;pyridine/PICO:10,"4np,benzenethiol,pyridine",1.0,1.0,1.0,1.0,0.0004832908511161804
10,chemical_substrate,44,Ag,row_mean,200,80,75,"4np,benzenethiol,pyridine","Au,PICO,pSERS",4np/PICO:10;4np/pSERS:10;benzenethiol/Au:10;benzenethiol/PICO:10;benzenethiol/pSERS:10;pyridine/Au:10;pyridine/PICO:10;pyridine/pSERS:10,"4np,benzenethiol,pyridine",0.56,0.56,0.4706444826926755,0.4706444826926755,0.0
